annotator,reference,comparison_label,lang,sample_id,status,table_iaa,table_iaa_ci,node_precision,node_recall,node_iaa,node_tp,annotation_node_count,reference_node_count,node_precision_ci,node_recall_ci,node_iaa_ci,node_tp_ci,node_path_precision,node_path_recall,node_path_iaa,node_path_tp,annotation_path_node_count,reference_path_node_count,node_path_iaa_ci,annotation_path,reference_path
annotator_C,annotator_E,annotator_C__vs__annotator_E,zh,198,ok,0.000000,0.000000,0.950000,0.863636,0.904762,57,60,66,0.950000,0.863636,0.904762,57,0.883333,0.803030,0.841270,53,60,66,0.841270,IAA/stage3/annotator_C/zh/198.json,workflow/1-annotated_json/data_zh/198.json
annotator_C,annotator_E,annotator_C__vs__annotator_E,zh,207,ok,0.000000,0.000000,0.896552,0.912281,0.904348,52,58,57,0.896552,0.912281,0.904348,52,0.189655,0.192982,0.191304,11,58,57,0.191304,IAA/stage3/annotator_C/zh/207.json,workflow/1-annotated_json/data_zh/207.json
annotator_C,annotator_E,annotator_C__vs__annotator_E,zh,233,ok,0.000000,0.000000,0.983607,0.983607,0.983607,60,61,61,0.983607,0.983607,0.983607,60,0.131148,0.131148,0.131148,8,61,61,0.131148,IAA/stage3/annotator_C/zh/233.json,workflow/1-annotated_json/data_zh/233.json
annotator_D,annotator_E,annotator_D__vs__annotator_E,zh,181,ok,1.000000,1.000000,1.000000,1.000000,1.000000,45,45,45,1.000000,1.000000,1.000000,45,1.000000,1.000000,1.000000,45,45,45,1.000000,IAA/stage3/annotator_D/zh/181.json,workflow/1-annotated_json/data_zh/181.json
annotator_D,annotator_E,annotator_D__vs__annotator_E,zh,182,ok,0.000000,0.000000,0.962963,0.896552,0.928571,26,27,29,0.962963,0.896552,0.928571,26,0.185185,0.172414,0.178571,5,27,29,0.178571,IAA/stage3/annotator_D/zh/182.json,workflow/1-annotated_json/data_zh/182.json
annotator_D,annotator_E,annotator_D__vs__annotator_E,zh,183,ok,0.000000,0.000000,0.976744,0.976744,0.976744,42,43,43,0.976744,0.976744,0.976744,42,0.976744,0.976744,0.976744,42,43,43,0.976744,IAA/stage3/annotator_D/zh/183.json,workflow/1-annotated_json/data_zh/183.json
annotator_D,annotator_E,annotator_D__vs__annotator_E,zh,184,ok,1.000000,1.000000,1.000000,1.000000,1.000000,78,78,78,1.000000,1.000000,1.000000,78,1.000000,1.000000,1.000000,78,78,78,1.000000,IAA/stage3/annotator_D/zh/184.json,workflow/1-annotated_json/data_zh/184.json
annotator_D,annotator_E,annotator_D__vs__annotator_E,zh,185,ok,0.000000,0.000000,0.978261,0.978261,0.978261,45,46,46,0.978261,0.978261,0.978261,45,0.065217,0.065217,0.065217,3,46,46,0.065217,IAA/stage3/annotator_D/zh/185.json,workflow/1-annotated_json/data_zh/185.json
annotator_D,annotator_E,annotator_D__vs__annotator_E,zh,186,ok,1.000000,1.000000,1.000000,1.000000,1.000000,83,83,83,1.000000,1.000000,1.000000,83,1.000000,1.000000,1.000000,83,83,83,1.000000,IAA/stage3/annotator_D/zh/186.json,workflow/1-annotated_json/data_zh/186.json
annotator_D,annotator_E,annotator_D__vs__annotator_E,zh,188,ok,1.000000,1.000000,1.000000,1.000000,1.000000,31,31,31,1.000000,1.000000,1.000000,31,1.000000,1.000000,1.000000,31,31,31,1.000000,IAA/stage3/annotator_D/zh/188.json,workflow/1-annotated_json/data_zh/188.json
annotator_D,annotator_E,annotator_D__vs__annotator_E,zh,210,ok,0.000000,0.000000,1.000000,0.980952,0.990385,103,103,105,1.000000,0.980952,0.990385,103,1.000000,0.980952,0.990385,103,103,105,0.990385,IAA/stage3/annotator_D/zh/210.json,workflow/1-annotated_json/data_zh/210.json
annotator_D,annotator_E,annotator_D__vs__annotator_E,zh,322,ok,0.000000,0.000000,0.819277,0.931507,0.871795,68,83,73,0.819277,0.931507,0.871795,68,0.566265,0.643836,0.602564,47,83,73,0.602564,IAA/stage3/annotator_D/zh/322.json,workflow/1-annotated_json/data_zh/322.json
annotator_D,annotator_E,annotator_D__vs__annotator_E,zh,323,ok,0.000000,0.000000,1.000000,0.976190,0.987952,41,41,42,1.000000,0.976190,0.987952,41,0.756098,0.738095,0.746988,31,41,42,0.746988,IAA/stage3/annotator_D/zh/323.json,workflow/1-annotated_json/data_zh/323.json
annotator_D,annotator_E,annotator_D__vs__annotator_E,zh,325,ok,0.000000,0.000000,1.000000,0.975000,0.987342,39,39,40,1.000000,0.975000,0.987342,39,1.000000,0.975000,0.987342,39,39,40,0.987342,IAA/stage3/annotator_D/zh/325.json,workflow/1-annotated_json/data_zh/325.json
annotator_D,annotator_E,annotator_D__vs__annotator_E,zh,326,ok,0.000000,0.000000,0.986301,0.960000,0.972973,72,73,75,0.986301,0.960000,0.972973,72,0.739726,0.720000,0.729730,54,73,75,0.729730,IAA/stage3/annotator_D/zh/326.json,workflow/1-annotated_json/data_zh/326.json
annotator_D,annotator_E,annotator_D__vs__annotator_E,zh,367,ok,0.000000,0.000000,0.972603,0.972603,0.972603,71,73,73,0.972603,0.972603,0.972603,71,0.027397,0.027397,0.027397,2,73,73,0.027397,IAA/stage3/annotator_D/zh/367.json,workflow/1-annotated_json/data_zh/367.json
annotator_D,annotator_E,annotator_D__vs__annotator_E,zh,368,ok,1.000000,1.000000,1.000000,1.000000,1.000000,20,20,20,1.000000,1.000000,1.000000,20,1.000000,1.000000,1.000000,20,20,20,1.000000,IAA/stage3/annotator_D/zh/368.json,workflow/1-annotated_json/data_zh/368.json
annotator_D,annotator_E,annotator_D__vs__annotator_E,zh,372,ok,1.000000,1.000000,1.000000,1.000000,1.000000,28,28,28,1.000000,1.000000,1.000000,28,1.000000,1.000000,1.000000,28,28,28,1.000000,IAA/stage3/annotator_D/zh/372.json,workflow/1-annotated_json/data_zh/372.json
